117231,124356,131432,138556,145636,152247,157901,162264,165208,166766,167117,166534,165258,163397,160835,157475,153501,149312,145641,143470,143618,146306,151200,157446,163835,169320,173290,175544,175779,173344,167448,157759,144660,129094,112237,95194,78850,63830,50541,39106,29600,22088,16466,12455,9713,7887,6671,5853,5304,4950,4746,4658,4664,4757,4932,5189,5535,6016,6706,7651,8836,10184,11567,12810,13754,14326,14575,14629,14709,15090,16041,17877,20889,25283,31054,37855,45120,52256,58853,64692,69868,74825,80211,86600,94296,103395,113518,123955,134043,143332,151586,158617,164073,167514,168553,166894,162209,154148,142607,128167,112165,96070,81051,67910,57105,48656,42259,37567,34344,32461,31902,32534,34060,35988,37704,38617,38326,36786,34229,31020,27573,24297,21540,19530,18416,18330,19362,21571
102784,109805,116602,123300,129914,136142,141574,145917,148994,150793,151469,151285,150393,148817,146443,143247,139507,135684,132472,130746,131267,134372,139874,146936,154311,160824,165724,168790,169727,167855,162369,152948,140068,124833,108496,92082,76325,61827,48971,37953,28891,21808,16552,12848,10343,8678,7550,6759,6188,5783,5515,5362,5306,5346,5481,5715,6060,6561,7279,8239,9403,10657,11848,12839,13559,13988,14148,14127,14120,14367,15074,16470,18768,22078,26398,31538,37138,42850,48530,54124,59670,65354,71549,78591,86754,96262,106837,117680,127992,137302,145419,152259,157480,160607,161201,158978,153709,145162,133412,119249,104086,89225,75574,63708,53913,46143,40148,35634,32392,30372,29646,30136,31594,33574,35506,36793,37002,36002,33903,30969,27633,24377,21610,19598,18538,18626,20013,22843
87179,93977,100490,106749,112834,118557,123620,127812,131006,133193,134465,134967,134764,133782,131902,129221,126114,123051,120597,119530,120594,124151,130088,137662,145666,152919,158679,162641,164374,163164,158318,149604,137508,123084,107542,91804,76526,62358,49717,38872,29979,23040,17895,14275,11830,10201,9083,8266,7635,7145,6780,6527,6369,6308,6361,6547,6888,7422,8186,9177,10315,11452,12432,13160,13636,13889,13937,13852,13792,13950,14481,15546,17291,19778,23018,26950,31385,36140,41201,46608,52373,58552,65314,72818,81254,90826,101305,111938,121894,130720,138303,144611,149301,151848,151778,148850,142957,134021,122291,108762,94764,81299,69058,58500,49796,42840,37411,33284,30262,28341,27632,28116,29582,31654,33826,35551,36348,35967,34393,31808,28624,25392,22618,20644,19714,20057,21880,25420
72080,78411,84566,90369,95813,100811,105264,109099,112312,114901,116844,118131,118738,118546,117436,115515,113190,110975,109372,109061,110790,114848,121091,128905,137256,145053,151598,156482,159123,158809,154983,147525,136896,123915,109558,94642,79822,65803,53104,42118,33043,25927,20654,16932,14386,12659,11459,10562,9831,9220,8722,8333,8026,7809,7724,7821,8134,8694,9503,10511,11592,12577,13339,13818,14058,14122,14035,13867,13754,13831,14205,14998,16310,18199,20712,23864,27586,31809,36557,41886,47807,54306,61453,69332,78027,87567,97686,107758,117026,125097,131893,137331,141050,142569,141510,137720,131187,121989,110571,97962,85281,73235,62344,53007,45360,39273,34531,30933,28303,26653,26100,26670,28216,30445,32932,35125,36522,36799,35834,33695,30737,27580,24859,23018,22347,23092,25500,29895
58898,64472,70061,75284,79966,84069,87734,91110,94282,97194,99687,101646,103019,103633,103346,102237,100682,99250,98441,98869,101165,105587,111993,119851,128352,136548,143815,149659,153401,154345,152012,146359,137775,126790,114067,100309,86189,72397,59513,48071,38433,30799,25123,21098,18296,16354,14990,13951,13069,12287,11620,11049,10540,10115,9836,9783,10014,10552,11360,12337,13319,14122,14650,14885,14889,14748,14503,14215,14009,13977,14193,14740,15708,17180,19242,21961,25347,29384,34079,39474,45583,52364,59834,68074,77047,86589,96390,105917,114521,121860,127786,132108,134473,134554,132170,127248,119910,110464,99495,87864,76388,65630,56020,47848,41202,35972,31944,28914,26719,25392,25069,25814,27550,30064,32973,35712,37732,38706,38426,36834,34223,31255,28697,27124,26874,28214,31413,36820
48437,53040,57761,62176,65995,69213,72139,75093,78183,81264,84081,86469,88351,89568,89964,89581,88751,88023,87938,88999,91654,96163,102489,110196,118591,126989,134891,141752,146830,149405,149021,145653,139553,130922,120165,107937,94918,81716,68839,56892,46480,38057,31696,27115,23869,21607,20016,18790,17712,16719,15839,15025,14244,13543,13001,12715,12777,13203,13920,14793,15625,16220,16481,16435,16166,15776,15330,14899,14565,14384,14422,14749,15456,16653,18464,20998,24317,28413,33261,38862,45214,52309,60181,68905,78287,87990,97687,106887,115052,121832,126923,130030,130874,129305,125314,118962,110541,100624,89922,79054,68559,58893,50432,43339,37629,33197,29833,27322,25543,24552,24508,25533,27603,30538,33980,37351,40073,41795,42257,41335,39258,36691,34493,33363,33717,35832,39978,46489
40860,44430,48122,51566,54497,56948,59279,61838,64709,67730,70597,73130,75236,76764,77607,77822,77695,77678,78234,79749,82557,86924,92891,100180,108239,116618,124994,132845,139402,143878,145779,144986,141566,135464,126875,116436,104911,92793,80387,68254,57194,47901,40646,35254,31362,28665,26798,25354,24071,22853,21709,20587,19463,18408,17514,16900,16674,16856,17371,18049,18659,18988,18923,18521,17916,17220,16534,15934,15449,15099,14941,15060,15565,16594,18315,20857,24280,28589,33728,39633,46287,53746,62148,71536,81553,91730,101665,110861,118838,125207,129558,131532,130850,127505,121672,113574,103739,93026,82201,71733,61972,53228,45727,39542,34649,30927,28173,26147,24761,24113,24403,25816,28349,31823,35862,39903,43397,45930,47233,47176,45933,44094,42550,42092,43205,46182,51267,58769
35845,38457,41151,43635,45728,47522,49357,51496,53974,56659,59310,61770,63893,65511,66626,67337,67896,68597,69685,71480,74292,78373,83783,90411,97971,106189,114852,123571,131560,137935,142144,143933,143122,139519,133212,124805,115080,104424,92993,81237,69947,59959,51761,45398,40713,37473,35262,33604,32162,30750,29336,27873,26356,24888,23577,22544,21903,21704,21886,22242,22511,22451,21949,21108,20112,19096,18178,17395,16727,16182,15823,15755,16117,17078,18820,21496,25165,29812,35331,41601,48588,56479,65529,75717,86575,97505,107969,117434,125418,131472,135147,136066,133992,128888,121047,110962,99457,87606,76250,65802,56489,48449,41726,36290,32099,29020,26832,25278,24281,23999,24694,26578,29661,33734,38396,43112,47367,50763,53065,54138,54093,53390,52855,53312,55275,59040,64861,73015
32922,34717,36527,38161,39536,40778,42166,43854,45822,48004,50240,52401,54352,55955,57259,58399,59585,60953,62534,64512,67225,70938,75710,81617,88649,96627,105409,114755,123910,131898,138117,142205,143767,142462,138373,132118,124379,115441,105407,94580,83551,73152,64099,56771,51266,47440,44864,43011,41453,39927,38335,36590,34714,32861,31127,29626,28485,27792,27489,27348,27090,26475,25420,24086,22681,21370,20256,19306,18458,17734,17206,17003,17288,18249,20083,22966,26972,32042,38013,44694,52059,60452,70217,81262,93013,104775,115879,125714,133744,139469,142456,142425,139136,132428,122607,110482,97178,83937,71717,60937,51758,44191,38096,33308,29747,27265,25605,24504,23909,24032,25184,27602,31293,35983,41244,46603,51591,55894,59325,61753,63204,63994,64802,66362,69142,73498,79766,88166
31729,32873,33968,34910,35701,36467,37400,38602,40039,41685,43402,45094,46713,48213,49630,51112,52844,54818,56884,59070,61641,64913,69062,74335,80869,88542,97294,107006,117004,126279,134122,140047,143529,144172,142094,137868,132112,125033,116656,107117,96767,86305,76603,68395,62103,57693,54707,52578,50875,49320,47719,45908,43895,41796,39707,37776,36142,34891,33965,33154,32191,30882,29206,27357,25562,24005,22749,21690,20739,19918,19298,19024,19286,20288,22260,25395,29767,35285,41718,48812,56602,65552,76013,87813,100326,112793,124439,134569,142524,147792,150091,149241,144911,136823,125257,111222,96110,81371,68082,56729,47469,40191,34595,30377,27371,25405,24227,23590,23444,24011,25640,28601,32885,38154,43969,49904,55594,60806,65419,69302,72373,74821,77155,79893,83396,88148,94601,102876
